id,koeppen_geiger,classification
1,Aw,Tropical savanna climate
2,BSh,Hot semi-arid climates
3,BWh,Hot desert climates
4,Am,Tropical monsoon climate
5,Csa,Hot-summer Mediterranean climate
6,Cwb,Subtropical highland oceanic climate
7,Af,Tropical rainforest climate
8,Cfb,Oceanic climate
9,BSk,Cold semi-arid climates
10,Cwa,Humid subtropical climate
11,Csb,Warm-summer Mediterranean climate
12,BWk,Cold desert climates
13,Cfa,Humid subtropical climate
14,As,Tropical savanna climate
15,Csc,Dry-summer maritime subalpine climate
16,Cs,Mediterranean climate
17,Cwc,Subtropical highland oceanic climate
18,Dsb,Warm humid continental climate
19,ET,Tundra climate
20,Cfc,Subpolar oceanic climate
21,Dfb,Warm humid continental climate
22,Dfa,Hot humid continental climate
23,Dfc,Subarctic climate
24,Dsc,Subarctic climate
25,Dwa,Humid continental climate
26,Dsa,Hot humid continental climate
27,Dwb,Warm humid continental climate
28,Dwc,Subarctic climate
29,Dfd,Subarctic climate
