id,country_name,country_id
1,Afghanistan,4
2,Albania,8
3,Trinidad & Tobago,11
4,Algeria,12
5,Azerbaijan,31
6,Argentina,32
7,Australia,36
8,Austria,40
9,Bahrain,48
10,Bangladesh,50
11,Armenia,51
12,Belgium,56
13,Bhutan,64
14,Bolivia,68
15,Bosnia and Herzegovina,70
16,Botswana,72
17,Brazil,76
18,Bulgaria,100
19,Myanmar,104
20,Burundi,108
21,Belarus,112
22,Cambodia,116
23,Cameroon,120
24,Canada,124
25,Central African Republic,140
26,Sri Lanka,144
27,Chad,148
28,Chile,152
29,China,156
30,Taiwan,158
31,Colombia,170
32,Comoros,174
33,Congo (Brazzaville),178
34,Congo (Kinshasa),180
35,Costa Rica,188
36,Croatia,191
37,Cyprus,196
38,Czech Republic,203
39,Benin,204
40,Denmark,208
41,Dominican Republic,214
42,Ecuador,218
43,El Salvador,222
44,Ethiopia,231
45,Estonia,233
46,Finland,246
47,France,250
48,Gabon,266
49,Georgia,268
50,Gambia,270
51,Palestinian Territories,275
52,Germany,276
53,Ghana,288
54,Greece,300
55,Guatemala,320
56,Guinea,324
57,Haiti,332
58,Honduras,340
59,Hong Kong,344
60,Hungary,348
61,Iceland,352
62,India,356
63,Indonesia,360
64,Iran,364
65,Iraq,368
66,Ireland,372
67,Israel,376
68,Italy,380
69,Kosovo,383
70,Ivory Coast,384
71,Jamaica,388
72,Japan,392
73,Kazakhstan,398
74,Jordan,400
75,Kenya,404
76,South Korea,410
77,Kuwait,414
78,Kyrgyzstan,417
79,Lebanon,422
80,Lesotho,426
81,Latvia,428
82,Liberia,430
83,Libya,434
84,Lithuania,440
85,Luxembourg,442
86,Madagascar,450
87,Malawi,454
88,Malaysia,458
89,Mali,466
90,Malta,470
91,Mauritania,478
92,Mauritius,480
93,Mexico,484
94,Mongolia,496
95,Moldova,498
96,Montenegro,499
97,Morocco,504
98,Mozambique,508
99,Namibia,516
100,Nepal,524
101,Netherlands,528
102,New Zealand,554
103,Nicaragua,558
104,Niger,562
105,Nigeria,566
106,Norway,578
107,Pakistan,586
108,Panama,591
109,Paraguay,600
110,Peru,604
111,Philippines,608
112,Poland,616
113,Portugal,620
114,Qatar,634
115,Romania,642
116,Russia,643
117,Rwanda,646
118,Saudi Arabia,682
119,Senegal,686
120,Serbia,688
121,Sierra Leone,694
122,Singapore,702
123,Slovakia,703
124,Vietnam,704
125,Slovenia,705
126,Somalia,706
127,South Africa,710
128,Zimbabwe,716
129,Spain,724
130,South Sudan,728
131,Swaziland,748
132,Sweden,752
133,Switzerland,756
134,Syria,760
135,Tajikistan,762
136,Thailand,764
137,Togo,768
138,United Arab Emirates,784
139,Tunisia,788
140,Turkey,792
141,Turkmenistan,795
142,Uganda,800
143,Ukraine,804
144,Egypt,818
145,United Kingdom,826
146,Tanzania,834
147,United States,840
148,Burkina Faso,854
149,Uruguay,858
150,Uzbekistan,860
151,Venezuela,862
152,Yemen,887
153,Zambia,894
