id,country_id,area,coast_ratio,population,climate
1,4,652230,0,37466414,BWh
2,8,28748,0.01259218,3088385,Csa
3,12,2381740,0.000419021,43576691,Csa
4,24,1246700,0.001283388,33642646,Cwb
5,32,2780400,0.001794346,45864941,Cfa
6,51,29743,0,3011609,Dfb
7,36,7741220,0.003327641,25809973,Cfa
8,40,83871,0,8884864,Dfb
9,31,86600,0,10282283,BSk
10,48,760,0.211842105,1526929,BWh
11,50,148460,0.003906776,164098818,Aw
12,112,207600,0,9441842,Dfb
13,56,30528,0.002178328,11778842,Cfb
14,84,22966,0.016807454,405633,Am
15,204,112622,0.00107439,13301694,Aw
16,64,38394,0,857423,Cwb
17,68,1098581,0,11758869,BSh
18,70,51197,0.000390648,3824782,Dfb
19,72,581730,0,2350667,BSh
20,76,8515770,0.000879662,213445417,Aw
21,100,110879,0.003192669,6919180,Dfb
22,854,274200,0,21382659,BSh
23,108,27830,0,12241065,Aw
24,116,181035,0.002447041,17304363,Aw
25,120,475440,0.000845533,28524175,Aw
26,124,9984670,0.020239026,37943231,Dfb
27,140,622984,0,5357984,Aw
28,148,1284000,0,17414108,Aw
29,152,756102,0.008510756,18307925,Csb
30,156,9596960,0.001510895,1397897720,Cfa
31,170,1138910,0.002816728,50355650,Af
32,174,2235,0.15212528,864335,Am
33,178,2344858,1.58E-05,5417414,Aw
34,180,342000,0.000494152,105044646,Aw
35,188,51100,0.025244618,5151140,Aw
36,191,56594,0.103102802,4208973,Dfb
37,196,9251,0.070046481,1281506,Csa
38,203,78867,0,10702596,Dfb
39,208,43094,0.169722003,5894687,Dfb
40,214,48670,0.026463941,10597348,Aw
41,218,283561,0.007888955,17093159,Aw
42,818,1001450,0.002446453,106437241,Bwh
43,222,21041,0.014590561,6528135,Aw
44,233,45228,0.083886088,1220042,Dfb
45,231,1104300,0,110871031,Cfb
46,246,338145,0.003696639,5587442,Dfc
47,250,643801,0.007250688,68084217,Cfb
48,266,267667,0.003306347,2284912,Aw
49,270,11300,0.007079646,2221301,Aw
50,268,69700,0.004447633,4933674,Dfb
51,276,357022,0.006691464,79903481,Dfb
52,288,238533,0.002259645,32372889,Aw
53,300,131957,0.103639822,10569703,Csa
54,320,108889,0.003673466,17422821,Aw
55,324,245857,0.00130157,12877894,Aw
56,332,27750,0.06381982,11198240,Aw
57,340,112090,0.00731555,9346277,Aw
58,344,1108,0.661552347,7263234,#N/A
59,348,93028,0,9728337,Dfb
60,352,103000,0.048252427,354234,ET
61,356,3287263,0.002129431,1339330514,BSh
62,360,1904569,0.02872881,275122131,Af
63,364,1648195,0.001480407,85888910,Csa
64,368,438317,0.000132324,39650145,BWh
65,372,70273,0.020605353,5224884,Cfb
66,376,21937,0.012444728,8787045,Csa
67,380,301340,0.025220681,62390364,Cfa
68,384,322463,0.001597082,28088455,Aw
69,388,10991,0.09298517,2816602,Am
70,392,377915,0.078724052,124687293,Cfa
71,400,89342,0.000291017,10909567,Csa
72,398,2724900,0,19245793,Dfb
73,404,580367,0.000923554,54685051,Aw
74,383,10887,0,1935259,Dfb
75,414,17818,0.028005388,3032065,BWh
76,417,199951,0,6018789,#N/A
77,428,64589,0.008221214,1862687,Dfb
78,422,10400,0.021634615,5261372,Csa
79,426,30355,0,2177740,Cfb
80,430,111369,0.005198933,5214030,Am
81,434,1759540,0.001005945,7017224,Bwh
82,440,65300,0.001378254,2711566,Dfb
83,442,2586,0,639589,Cfb
84,807,25713,0,#N/A,Dfb
85,450,587041,0.008224298,27534354,Aw
86,454,118484,0,20308502,Aw
87,458,329847,0.014173238,33519406,Af
88,466,1240192,0,20137527,Aw
89,470,316,0.62278481,460891,Csa
90,478,1030700,0.000731542,4079284,BWh
91,480,2040,0.086764706,1386129,Am
92,484,1964375,0.004749602,130207371,BSh
93,498,33851,0,3323875,Dfb
94,496,1564116,0,3198913,BSk
95,499,13812,0.014407761,607414,Dfb
96,504,716550,0.002560882,36561813,Csa
97,508,799380,0.003089895,30888034,Aw
98,104,676575,0.003293057,#N/A,Aw
99,516,824292,0.001907091,2678191,BSh
100,524,147181,0,30424878,Cwa
101,528,41543,0.010856221,17337403,Cfb
102,554,268838,0.056294125,4991442,Cfb
103,558,130370,0.006980133,6243931,Aw
104,562,1267000,0,23605767,BWh
105,566,923768,0.000923392,219463862,Aw
106,578,323802,0.077664746,5509591,Dfc
107,586,796095,0.001313914,238181034,BWh
108,275,6020,0.007059801,#N/A,#N/A
109,591,75420,0.033015115,3928646,Am
110,600,406752,0,7272639,Cfa
111,604,1285216,0.001878283,32201224,Cfb
112,608,300000,0.120963333,110818325,Af
113,616,312685,0.00157027,38185913,Dfb
114,620,92090,0.019470084,10263850,Csb
115,634,11586,0.04859313,2479995,BWh
116,642,238391,0.000943828,21230362,Dfb
117,643,17098242,0.002202156,142320790,Dfb
118,646,26338,0,12943132,Aw
119,682,2149690,0.001228084,34783757,BWh
120,686,196722,0.002699241,16082442,BSh
121,688,77474,0.002568604,6974289,Dfb
122,694,71740,0.005603568,6807277,Am
123,702,719,0.268428373,5866139,Af
124,703,49035,0,5436066,Dfb
125,705,20273,0.002298624,2102106,Dfb
126,706,637657,0.00474393,12094640,BSh
127,710,1219090,0.002295155,56978635,Cfb
128,410,99720,0.024197754,51715162,Dfa
129,728,644329,0,10984074,Aw
130,724,505370,0.009822506,47260584,Cfb
131,144,65610,0.020423716,23044123,Af
132,729,1861484,0.000458237,46751152,BWh
133,748,17364,0,#N/A,Cfa
134,752,450295,0.007146426,10261767,Dfb
135,756,41277,0,8453550,Dfb
136,760,187437,0.001029679,20384316,Csa
137,158,35980,0.043532518,23572052,Cfa
138,762,144100,0,8990874,Csa
139,834,947300,0.00150322,62092761,Aw
140,764,513120,0.006273386,69480520,Aw
141,768,56785,0.000986176,8283189,Aw
142,11,5128,0.070592824,1221047,Am
143,788,163610,0.007016686,11811335,Csa
144,792,783562,0.009188807,82482383,Csa
145,795,488100,0,5579889,BWk
146,800,241038,0,44712143,Aw
147,804,603550,0.004609394,43745640,Dfb
148,784,83600,0.01576555,9856612,BWh
149,826,243610,0.051020073,67081000,Cfb
150,840,9833517,0.002026132,334998398,Dfa
151,858,176215,0.003745425,3398239,Cfa
152,860,447400,0,30842796,BSk
153,862,912050,0.003070007,29069153,Aw
154,704,331210,0.010398237,102789598,Aw
155,887,527968,0.003610067,30399243,BWh
156,894,752618,0,19077816,Cwa
157,716,390757,0,14829988,BSh
