id,country_id,min_drinking_age,internet_users_pp,avg_chocolate,paid_leave,olympic_medals
1,4,[prohibited],0.125899773,0.005660377,35,2
2,8,18,0.711249731,0.172641509,32,0
3,11,18,0.769804111,0.991132075,24,19
4,12,18,0.569559791,0.241886792,41,17
5,31,18,0.779702329,0.595909091,40,49
6,32,18,0.72393683,0.556037736,25,77
7,36,18,0.829884712,1.807169811,30,562
8,40,16,0.868067874,2.174528302,38,326
9,48,[prohibited],0.931961473,#N/A,44,4
10,50,[none],0.145753335,0.002075472,21,0
11,51,18,0.653119977,1.063181818,36,18
12,56,16,0.870937737,0.127857143,30,161
13,64,18,0.430025787,#N/A,9,0
14,68,18,0.421432452,0.611509434,9,0
15,70,18,0.705803363,1.538181818,29,0
16,72,18,0.449693215,0.254339623,29,2
17,76,18,0.660164083,0.492830189,22,150
18,100,18,0.660750407,1.244528302,32,230
19,104,18,#N/A,0.003018868,24,0
20,108,18,0.024400165,#N/A,30,2
21,112,18,0.798482436,1.020909091,29,103
22,116,[none],0.380239827,0.002830189,45,0
23,120,18,0.213475061,0.478867925,18,6
24,124,18,0.889327374,1.699433962,30,525
25,140,[none],0.046535413,0.00754717,24,0
26,144,21,0.334179608,0.166792453,40,2
27,148,18,0.059098807,0.002641509,27,0
28,152,18,0.806091788,0.573773585,30,13
29,156,18,0.537869193,0.019433962,16,696
30,158,#N/A,0.926773112,0.233584906,19,0
31,170,18,0.595564093,1.231132075,33,34
32,174,[none],0.080564827,#N/A,25,0
33,178,#N/A,1.519425504,0.04490566,12,0
34,180,18,0.00416837,#N/A,26,0
35,188,18,0.717311896,0.460566038,19,4
36,191,18,0.737522431,1.418181818,33,52
37,196,18,0.815035591,1.174528302,34,1
38,203,18,0.805669017,2.492380952,33,98
39,204,20,0.180698488,0.019245283,37,0
40,208,18,0.96228994,2.950188679,36,206
41,214,18,0.727118615,0.885283019,23,12
42,218,18,0.552776231,0.600943396,23,5
43,222,18,0.329922099,0.289622642,26,0
44,231,21,0.172438822,0.001904762,25,58
45,233,18,0.911358789,4.955909091,31,43
46,246,18,0.880933171,0.795660377,36,472
47,250,18,0.811725837,2.591132075,36,874
48,266,18,0.574990197,0.143584906,34,1
49,268,18,0.638716299,0.859545455,39,40
50,270,16,0.183189041,0.074528302,21,0
51,275,#N/A,#N/A,#N/A,12,0
52,276,16,0.903624875,2.281320755,30,892
53,288,18,0.338553782,0.559811321,28,5
54,300,18,0.73638597,1.326603774,29,121
55,320,18,0.618604014,0.334528302,25,1
56,324,#N/A,0.165708306,0.040754717,33,0
57,332,[none],0.31281755,0.300566038,27,2
58,340,18,0.305309269,0.261320755,19,0
59,344,#N/A,0.888057166,0.603207547,19,9
60,348,18,0.768313536,1.756415094,33,518
61,352,20,0.960147812,3.464528302,36,4
62,356,18,0.333569139,0.010566038,27,35
63,360,21,0.380060694,0.384339623,27,37
64,364,[prohibited],0.676656882,0.105471698,53,76
65,368,[prohibited],0.463160727,0.13245283,20,1
66,372,18,0.819829876,1.358301887,29,35
67,376,18,0.782178423,1.890943396,21,13
68,380,18,0.742186742,1.077358491,32,742
69,383,#N/A,0.881613262,#N/A,32,0
70,384,#N/A,0.437731588,1.423396226,34,4
71,388,18,0.54981783,0.623018868,10,87
72,392,20,0.855946428,0.822264151,10,555
73,398,21,0.768450954,1.122272727,40,80
74,400,18,0.640279674,0.419433962,24,3
75,404,18,0.166942205,0.068490566,28,113
76,410,19,0.95349126,0.22,30,357
77,414,[prohibited],0.958027285,1.554339623,48,3
78,417,18,0.369298874,0.724545455,20,7
79,422,18,0.906424978,1.027924528,37,4
80,426,18,0.26133239,0.01490566,22,0
81,428,18,0.863113878,1.731363636,32,30
82,430,18,0.073612733,0.055283019,21,0
83,434,[prohibited],0.205331767,#N/A,22,0
84,440,18,0.821225078,0.079545455,34,26
85,442,16,0.919270031,1.74974359,0,4
86,450,#N/A,0.091412858,0.050943396,35,0
87,454,18,0.134638439,0.009433962,18,0
88,458,21,0.770581794,0.293773585,19,13
89,466,[none],0.118976178,0.005471698,22,0
90,470,17,0.793074718,1.853207547,40,0
91,478,[prohibited],0.195820884,0.025283019,22,0
92,480,18,0.5767645,0.370754717,38,1
93,484,18,0.636241776,0.50754717,13,73
94,496,21,0.230022823,0.32490566,15,30
95,498,18,0.787271483,0.674090909,20,6
96,499,18,0.723248065,4.1825,21,1
97,504,16,0.618041808,0.139433962,25,24
98,508,18,0.092452307,0.023962264,19,2
99,516,18,0.482394273,0.258867925,20,5
100,524,18,0.332095991,0.007358491,28,0
101,528,18,0.936929712,0.019056604,28,451
102,554,18,0.869622846,1.552830189,31,140
103,558,18,0.271518055,0.234339623,20,0
104,562,18,0.047055366,0.001886792,34,2
105,566,18,0.38935819,0.053584906,5,27
106,578,18,0.940836988,2.419622642,35,528
107,586,[prohibited],0.145833144,0.007924528,29,10
108,591,18,0.559845046,0.632641509,40,3
109,600,20,0.627838533,0.223962264,22,1
110,604,18,0.511205009,0.546603774,34,4
111,608,18,0.573812815,0.337924528,17,14
112,616,18,0.780167309,0.951132075,33,320
113,620,18,0.753266172,1.110943396,35,28
114,634,[prohibited],0.949718447,#N/A,25,8
115,642,18,0.714349101,0.655849057,34,309
116,643,18,0.80747498,1.292272727,38,547
117,646,18,0.204988793,0.001886792,26,0
118,682,[prohibited],0.887693586,0.450377358,30,4
119,686,18,0.429638422,0.04245283,32,1
120,688,18,0.744520481,1.04625,31,24
121,694,[none],0.083454662,0.266981132,18,0
122,702,18,0.901217138,#N/A,18,5
123,703,18,0.807931508,1.06,35,40
124,704,18,0.664151591,0.021698113,22,5
125,705,18,0.797507357,2.955,33,45
126,706,#N/A,0.018618247,#N/A,22,0
127,710,18,0.545942598,0.244150943,27,89
128,716,18,0.256009513,0.022641509,33,8
129,724,18,0.898824907,1.756226415,36,171
130,728,18,0.074136973,0.04,32,1
131,748,#N/A,#N/A,#N/A,10,0
132,752,18,0.90157699,1.513207547,25,661
133,756,18,0.879845745,1.447358491,27,358
134,760,[none],0.298146379,#N/A,37,4
135,762,18,0.210172226,0.411818182,#N/A,4
136,764,20,0.561128947,0.163018868,19,35
137,768,[none],0.122007237,0.046037736,22,1
138,784,21,0.968988634,0.808867925,32,2
139,788,#N/A,0.62585999,0.261509434,16,15
140,792,18,0.699848148,0.184339623,26,104
141,795,21,0.206068615,0.604545455,#N/A,1
142,800,18,0.215169311,0.022830189,28,11
143,804,18,0.591682028,0.332272727,29,147
144,818,21,0.438236914,0.107924528,28,38
145,826,18,0.921048851,2.234150943,28,948
146,834,18,0.2232601,0.006226415,37,2
147,840,21,0.852299658,2.236981132,0,2980
148,854,18,0.147728774,0.003018868,45,1
149,858,18,0.67698505,0.841132075,25,10
150,860,20,0.509208115,0.106363636,15,37
151,862,18,0.734610293,0.601320755,15,19
152,887,[prohibited],0.251976143,0.090188679,37,0
153,894,18,0.123265996,0.051886792,31,2
